country,income_per_capita_2011,life_expectancy_2016,population_2015,four_regions
Papua New Guinea,2260.0,60.8,7920000.0,asia
Paraguay,7500.0,74.6,6640000.0,americas
Peru,10400.0,79.7,3.14E7,americas
Philippines,5710.0,70.3,1.02E8,asia
Poland,22800.0,77.9,3.83E7,europe
Portugal,26800.0,80.9,1.04E7,europe
Qatar,129000.0,80.4,2480000.0,asia
Romania,18100.0,75.3,1.99E7,europe
Russia,24100.0,70.8,1.44E8,europe
Rwanda,1420.0,67.7,1.16E7,africa
St. Kitts and Nevis,21700.0,,54300.0,americas
St. Lucia,10800.0,76.2,177000.0,americas
St. Vincent and the Grenadines,9870.0,71.8,109000.0,americas
Samoa,5670.0,72.0,194000.0,asia
San Marino,43100.0,,33000.0,europe
Sao Tome and Principe,2700.0,70.6,196000.0,africa
Saudi Arabia,48500.0,77.3,3.16E7,asia
Senegal,2160.0,66.2,1.5E7,africa
Serbia,13000.0,75.9,8850000.0,europe
Seychelles,22600.0,73.8,93700.0,africa
Sierra Leone,1250.0,59.1,7240000.0,africa
Singapore,75000.0,83.7,5540000.0,asia
Slovak Republic,25800.0,76.9,5440000.0,europe
Slovenia,28800.0,80.8,2070000.0,europe
Solomon Islands,1970.0,63.1,587000.0,asia
Somalia,614.0,57.2,1.39E7,africa
South Africa,12200.0,62.4,5.53E7,africa
Spain,32100.0,82.9,4.64E7,europe
Sri Lanka,9210.0,77.4,2.07E7,asia
Sudan,3630.0,68.3,3.86E7,africa
Suriname,14900.0,71.4,553000.0,americas
Swaziland,7320.0,57.7,1320000.0,africa
Sweden,43800.0,82.0,9760000.0,europe
Switzerland,55900.0,83.1,8320000.0,europe
Syria,6360.0,68.4,1.87E7,asia
Taiwan,,,,asia
Tajikistan,2210.0,71.9,8550000.0,asia
Tanzania,2190.0,64.3,5.39E7,africa
Thailand,13500.0,77.8,6.87E7,asia
Timor-Leste,1960.0,72.7,1240000.0,asia
Togo,1230.0,62.6,7420000.0,africa
Tonga,5100.0,70.4,106000.0,asia
Trinidad and Tobago,31000.0,73.2,1360000.0,americas
Tunisia,10100.0,77.5,1.13E7,africa
Turkey,19700.0,79.1,7.83E7,europe
Turkmenistan,11200.0,70.2,5570000.0,asia
Tuvalu,3230.0,,11000.0,asia
Uganda,1630.0,62.3,4.01E7,africa
Ukraine,8280.0,72.0,4.47E7,europe
United Arab Emirates,58400.0,76.6,9150000.0,asia
United Kingdom,36500.0,80.9,6.54E7,europe
United States,49800.0,78.8,3.2E8,americas
Uruguay,17900.0,77.3,3430000.0,americas
Uzbekistan,4470.0,70.3,3.1E7,asia
Vanuatu,2920.0,64.0,265000.0,asia
Venezuela,17000.0,75.5,3.12E7,americas
Palestine,2660.0,71.8,4660000.0,asia
Vietnam,4720.0,74.5,9.36E7,asia
Yemen,3800.0,66.7,2.69E7,asia
Zambia,3360.0,58.8,1.61E7,africa
Zimbabwe,1660.0,59.3,1.58E7,africa
South Sudan,3480.0,59.7,1.19E7,africa
